symbol,bids,asks,timestamp,datetime,nonce
BTC/USD,"[54261.9, 27.938, 1725757694]","[54262.0, 0.022, 1725757661]",,,
BTC/USD,"[54261.4, 0.092, 1725757693]","[54268.5, 0.022, 1725757680]",,,
BTC/USD,"[54259.5, 0.01, 1725757693]","[54271.7, 0.001, 1725756601]",,,
BTC/USD,"[54258.5, 0.14, 1725757687]","[54272.3, 0.001, 1725757694]",,,
BTC/USD,"[54258.4, 0.017, 1725757683]","[54272.4, 0.423, 1725757694]",,,
BTC/USD,"[54256.4, 0.488, 1725757693]","[54273.0, 0.488, 1725757693]",,,
BTC/USD,"[54256.1, 0.001, 1725757688]","[54273.6, 4.607, 1725757694]",,,
BTC/USD,"[54255.7, 0.664, 1725757693]","[54273.8, 0.114, 1725757694]",,,
BTC/USD,"[54255.6, 0.104, 1725757693]","[54275.0, 0.022, 1725757647]",,,
BTC/USD,"[54253.6, 0.774, 1725757682]","[54275.2, 4.607, 1725757694]",,,
BTC/USD,"[54253.5, 0.04, 1725757693]","[54276.6, 4.607, 1725757694]",,,
BTC/USD,"[54253.4, 0.001, 1725757688]","[54277.3, 0.001, 1725757693]",,,
BTC/USD,"[54253.0, 0.335, 1725757693]","[54277.6, 0.001, 1725757693]",,,
BTC/USD,"[54251.7, 0.172, 1725757693]","[54278.5, 0.488, 1725757694]",,,
BTC/USD,"[54251.6, 5.995, 1725757693]","[54279.4, 0.001, 1725757685]",,,
BTC/USD,"[54251.5, 1.175, 1725757691]","[54279.6, 0.112, 1725757694]",,,
BTC/USD,"[54250.7, 4.609, 1725757688]","[54280.7, 4.606, 1725757694]",,,
BTC/USD,"[54250.1, 0.488, 1725757682]","[54280.9, 0.01, 1725757694]",,,
BTC/USD,"[54249.1, 1.076, 1725757683]","[54281.2, 0.001, 1725755988]",,,
BTC/USD,"[54248.0, 0.001, 1725757693]","[54281.5, 0.022, 1725757549]",,,
BTC/USD,"[54246.9, 0.867, 1725757692]","[54283.3, 0.001, 1725757695]",,,
BTC/USD,"[54245.3, 0.001, 1725757689]","[54283.4, 0.651, 1725757569]",,,
BTC/USD,"[54244.6, 0.488, 1725757683]","[54285.1, 0.04, 1725757682]",,,
BTC/USD,"[54242.5, 0.001, 1725757689]","[54285.2, 1.186, 1725757693]",,,
BTC/USD,"[54241.9, 0.024, 1725757693]","[54285.5, 0.488, 1725757666]",,,
BTC/USD,"[54240.7, 0.008, 1725757684]","[54287.8, 0.664, 1725757693]",,,
